graph,attacker,defender,seed,nodes,edges,actual_density,density_parameter,attack_budget,defense_budget,attack_multiplier,rounds_requested,rounds_played,initial_length,final_length,total_damage,mean_round_damage,max_round_damage,mean_damage_ratio,final_damage_ratio,total_attacked_edges,unique_attacked_edges,mean_protected_edges,runtime_seconds
Grid / lattice,Greedy,Centrality,0,5,5,0.5,0.35,1,0,3.0,3,3,8,24.0,16.0,5.333333333333333,8,1.4886363636363635,3.0,3,3,0.0,0.0007
Grid / lattice,Greedy,Centrality,0,5,5,0.5,0.35,1,2,3.0,3,3,8,8,0,0.0,0,1.0,1.0,0,0,2.0,0.0006
Grid / lattice,Greedy,Centrality,0,5,5,0.5,0.35,2,0,3.0,3,3,8,24.0,16.0,5.333333333333333,14.0,1.6136363636363635,3.0,3,3,0.0,0.0008
Grid / lattice,Greedy,Centrality,0,5,5,0.5,0.35,2,2,3.0,3,3,8,8,0,0.0,0,1.0,1.0,0,0,2.0,0.0007
Grid / lattice,Greedy,Centrality,1,5,5,0.5,0.35,1,0,3.0,3,3,5,15.0,10.0,3.3333333333333335,6.0,1.5136363636363637,3.0,3,3,0.0,0.0007
Grid / lattice,Greedy,Centrality,1,5,5,0.5,0.35,1,2,3.0,3,3,5,5,0,0.0,0,1.0,1.0,0,0,2.0,0.0006
Grid / lattice,Greedy,Centrality,1,5,5,0.5,0.35,2,0,3.0,3,3,5,15.0,10.0,3.3333333333333335,7,1.55,3.0,3,3,0.0,0.0009
Grid / lattice,Greedy,Centrality,1,5,5,0.5,0.35,2,2,3.0,3,3,5,5,0,0.0,0,1.0,1.0,0,0,2.0,0.0006
Grid / lattice,Greedy,Centrality,0,10,13,0.2889,0.35,1,0,3.0,3,3,14,35.0,21.0,7.0,7,1.361111111111111,2.5,3,3,0.0,0.0023
Grid / lattice,Greedy,Centrality,0,10,13,0.2889,0.35,1,2,3.0,3,3,14,26.0,12.0,4.0,7,1.246031746031746,1.8571428571428572,2,2,2.0,0.0021
Grid / lattice,Greedy,Centrality,0,10,13,0.2889,0.35,2,0,3.0,3,3,14,42.0,28.0,9.333333333333334,14.0,1.4928571428571429,3.0,5,5,0.0,0.0037
Grid / lattice,Greedy,Centrality,0,10,13,0.2889,0.35,2,2,3.0,3,3,14,26.0,12.0,4.0,12.0,1.2857142857142858,1.8571428571428572,2,2,2.0,0.0026
Grid / lattice,Greedy,Centrality,1,10,13,0.2889,0.35,1,0,3.0,3,3,12,20.0,8.0,2.6666666666666665,4,1.1898148148148149,1.6666666666666667,3,3,0.0,0.0022
Grid / lattice,Greedy,Centrality,1,10,13,0.2889,0.35,1,2,3.0,3,3,12,14,2,0.6666666666666666,2,1.0555555555555556,1.1666666666666667,1,1,2.0,0.0021
Grid / lattice,Greedy,Centrality,1,10,13,0.2889,0.35,2,0,3.0,3,3,12,34.0,22.0,7.333333333333333,16.0,1.462962962962963,2.8333333333333335,4,4,0.0,0.0032
Grid / lattice,Greedy,Centrality,1,10,13,0.2889,0.35,2,2,3.0,3,3,12,14,2,0.6666666666666666,2,1.0555555555555556,1.1666666666666667,1,1,2.0,0.0027
Grid / lattice,Greedy,Greedy,0,5,5,0.5,0.35,1,0,3.0,3,3,8,24.0,16.0,5.333333333333333,8,1.4886363636363635,3.0,3,3,0.0,0.0006
Grid / lattice,Greedy,Greedy,0,5,5,0.5,0.35,1,2,3.0,3,3,8,8,0,0.0,0,1.0,1.0,0,0,2.0,0.0042
Grid / lattice,Greedy,Greedy,0,5,5,0.5,0.35,2,0,3.0,3,3,8,24.0,16.0,5.333333333333333,14.0,1.6136363636363635,3.0,3,3,0.0,0.0008
Grid / lattice,Greedy,Greedy,0,5,5,0.5,0.35,2,2,3.0,3,3,8,8,0,0.0,0,1.0,1.0,0,0,2.0,0.007
Grid / lattice,Greedy,Greedy,1,5,5,0.5,0.35,1,0,3.0,3,3,5,15.0,10.0,3.3333333333333335,6.0,1.5136363636363637,3.0,3,3,0.0,0.0006
Grid / lattice,Greedy,Greedy,1,5,5,0.5,0.35,1,2,3.0,3,3,5,5,0,0.0,0,1.0,1.0,0,0,2.0,0.0041
Grid / lattice,Greedy,Greedy,1,5,5,0.5,0.35,2,0,3.0,3,3,5,15.0,10.0,3.3333333333333335,7,1.55,3.0,3,3,0.0,0.0008
Grid / lattice,Greedy,Greedy,1,5,5,0.5,0.35,2,2,3.0,3,3,5,5,0,0.0,0,1.0,1.0,0,0,2.0,0.0063
Grid / lattice,Greedy,Greedy,0,10,13,0.2889,0.35,1,0,3.0,3,3,14,35.0,21.0,7.0,7,1.361111111111111,2.5,3,3,0.0,0.0021
Grid / lattice,Greedy,Greedy,0,10,13,0.2889,0.35,1,2,3.0,3,3,14,28.0,14.0,4.666666666666667,7,1.2716727716727716,2.0,3,3,2.0,0.0474
Grid / lattice,Greedy,Greedy,0,10,13,0.2889,0.35,2,0,3.0,3,3,14,42.0,28.0,9.333333333333334,14.0,1.4928571428571429,3.0,5,5,0.0,0.0037
Grid / lattice,Greedy,Greedy,0,10,13,0.2889,0.35,2,2,3.0,3,3,14,21,7,2.3333333333333335,7,1.1666666666666667,1.5,1,1,1.3333333333333333,0.0589
Grid / lattice,Greedy,Greedy,1,10,13,0.2889,0.35,1,0,3.0,3,3,12,20.0,8.0,2.6666666666666665,4,1.1898148148148149,1.6666666666666667,3,3,0.0,0.0021
Grid / lattice,Greedy,Greedy,1,10,13,0.2889,0.35,1,2,3.0,3,3,12,20.0,8.0,2.6666666666666665,4.0,1.1865079365079365,1.6666666666666667,3,3,2.0,0.0466
Grid / lattice,Greedy,Greedy,1,10,13,0.2889,0.35,2,0,3.0,3,3,12,34.0,22.0,7.333333333333333,16.0,1.462962962962963,2.8333333333333335,4,4,0.0,0.0031
Grid / lattice,Greedy,Greedy,1,10,13,0.2889,0.35,2,2,3.0,3,3,12,34.0,22.0,7.333333333333333,10.0,1.4166666666666667,2.8333333333333335,5,5,2.0,0.0907
